wl	n
0.4368	1.5337737858582
0.4430	1.5328154629416
0.4491	1.5319143322369
0.4553	1.5310383305608
0.4614	1.5302134347234
0.4676	1.5294104376426
0.4737	1.5286532793068
0.4799	1.5279152704508
0.4860	1.5272185203848
0.4922	1.5265385691365
0.4983	1.5258958763806
0.5045	1.5252679639783
0.5106	1.5246738014111
0.5168	1.5240926790328
0.5229	1.5235422169383
0.5291	1.5230032891589
0.5352	1.5224922910878
0.5414	1.521991519609
0.5475	1.5215162561141
0.5537	1.521050079801
0.5598	1.5206072565947
0.5660	1.5201725247104
0.5721	1.5197592225314
0.5783	1.5193531387181
0.5844	1.5189667627581
0.5906	1.518586837817
0.5968	1.5182192409943
0.6029	1.5178690869086
0.6091	1.5175243972192
0.6152	1.5171958295669
0.6214	1.516872164455
0.6275	1.5165634281509
0.6337	1.5162590962425
0.6398	1.5159686125466
0.6460	1.5156820906293
0.6521	1.5154084361368
0.6583	1.5151383493331
0.6644	1.5148802378486
0.6706	1.5146253424832
0.6767	1.5143816093322
0.6829	1.5141407780801
0.6890	1.5139103664887
0.6952	1.5136825754611
0.7013	1.5134645246957
0.7075	1.513248842179
0.7136	1.5130422771887
0.7198	1.5128378537969
0.7259	1.5126419761449
0.7321	1.5124480361858
0.7382	1.5122621160873
0.7444	1.5120779499728
0.7506	1.511898460566
0.7567	1.5117262768465
0.7629	1.5115556040105
0.7690	1.5113918074675
0.7752	1.5112293794914
0.7813	1.5110734307727
0.7875	1.5109187218183
0.7936	1.510770124491
0.7998	1.5106226502215
0.8059	1.5104809467154
0.8121	1.5103402604051
0.8182	1.5102050283991
0.8244	1.5100707174638
0.8305	1.5099415666599
0.8367	1.509813249557
0.8428	1.5096898187958
0.8490	1.5095671422496
0.8551	1.5094490969251
0.8613	1.5093317334382
0.8674	1.5092187631783
0.8736	1.5091064087965
0.8797	1.5089982253768
0.8859	1.5088905976775
0.8920	1.5087869331433
0.8982	1.5086837694226
0.9044	1.5085827620346
0.9105	1.5084854300305
0.9167	1.508388525075
0.9228	1.508295119147
0.9290	1.5082020964578
0.9351	1.5081124073404
0.9413	1.5080230613873
0.9474	1.5079368936319
0.9536	1.5078510323637
0.9597	1.507768203254
0.9659	1.5076856470473
0.9720	1.5076059856126
0.9782	1.5075265663155
0.9843	1.5074499124334
0.9905	1.5073734724942
0.9966	1.5072996760712
1.003	1.5072237163471
1.009	1.507153833625
1.015	1.5070852059196
1.021	1.5070178032458
1.027	1.5069515965122
1.034	1.5068758292432
1.040	1.5068121179759
1.046	1.5067495160658
1.052	1.5066879978155
