wl	n
0.0151	0.96
0.0165	0.96
0.0177	0.95
0.0191	0.95
0.0207	0.94
0.0225	0.93
0.0248	0.92
0.0276	0.90
0.0310	0.89
0.0354	0.87
0.0413	0.84
0.0443	0.84
0.0477	0.83
0.0517	0.83
0.0564	0.84
0.0620	0.87
0.0653	0.88
0.0689	0.91
0.0708	0.94
0.0729	0.97
0.0751	1.00
0.0775	1.04
0.0800	1.09
0.0827	1.14
0.0855	1.20
0.0886	1.26
0.0918	1.33
0.0954	1.40
0.0992	1.46
0.1033	1.53
0.1078	1.59
0.1127	1.63
0.1181	1.66
0.1240	1.67
0.1265	1.68
0.1292	1.68
0.1319	1.69
0.1348	1.69
0.1378	1.69
0.1409	1.69
0.1442	1.69
0.1476	1.69
0.1512	1.68
0.1550	1.68
0.1590	1.67
0.1631	1.66
0.1675	1.64
0.1722	1.63
0.1771	1.62
0.1823	1.60
0.1879	1.62
0.1937	1.65
0.2000	1.68
0.2066	1.70
0.2138	1.72
0.2214	1.72
0.2296	1.67
0.2384	1.62
0.2480	1.60
0.2583	1.64
0.2695	1.72
0.2818	1.78
0.2952	1.77
0.3100	1.71
0.3542	1.64
0.4133	1.61
0.4959	1.59
0.6199	1.58

wl	k
0.0151	0.010
0.0165	0.014
0.0177	0.018
0.0191	0.028
0.0207	0.029
0.0225	0.038
0.0248	0.049
0.0276	0.065
0.0310	0.087
0.0354	0.12
0.0413	0.18
0.0443	0.22
0.0477	0.26
0.0517	0.32
0.0564	0.38
0.0620	0.46
0.0653	0.52
0.0689	0.58
0.0708	0.61
0.0729	0.64
0.0751	0.67
0.0775	0.70
0.0800	0.73
0.0827	0.75
0.0855	0.76
0.0886	0.77
0.0918	0.76
0.0954	0.75
0.0992	0.73
0.1033	0.69
0.1078	0.64
0.1127	0.59
0.1181	0.53
0.1240	0.48
0.1265	0.45
0.1292	0.43
0.1319	0.41
0.1348	0.39
0.1378	0.37
0.1409	0.35
0.1442	0.33
0.1476	0.31
0.1512	0.29
0.1550	0.28
0.1590	0.26
0.1631	0.25
0.1675	0.24
0.1722	0.23
0.1771	0.24
0.1823	0.25
0.1879	0.27
0.1937	0.27
0.2000	0.26
0.2066	0.24
0.2138	0.20
0.2214	0.14
0.2296	0.10
0.2384	0.12
0.2480	0.17
0.2583	0.22
0.2695	0.21
0.2818	0.15
0.2952	0.052
0.3100	0.000
0.3542	0.000
0.4133	0.000
0.4959	0.000
0.6199	0.000
