wl	n
0.3	1.699838715
0.31	1.746948702
0.32	1.782941044
0.33	1.804652963
0.34	1.804621334
0.35	1.763712432
0.36	1.713434851
0.37	1.689202065
0.38	1.678059067
0.39	1.672504217
0.4	1.665616091
0.41	1.653911114
0.42	1.63743714
0.43	1.612343317
0.44	1.581523054
0.45	1.538326354
0.46	1.475285274
0.47	1.386263242
0.48	1.252905499
0.49	1.064360219
0.5	0.848474841
0.51	0.661635502
0.52	0.52912664
0.53	0.438041087
0.54	0.372502061
0.55	0.323930966
0.56	0.284960267
0.57	0.254069233
0.58	0.228936734
0.59	0.207122197
0.6	0.188789629
0.61	0.172726107
0.62	0.160071695
0.63	0.14636792
0.64	0.135417727
0.65	0.125499436
0.66	0.117832095
0.67	0.111117685
0.68	0.105744888
0.69	0.101509306
0.7	0.098607898
0.71	0.097790271
0.72	0.098623269
0.73	0.096903666
0.74	0.099463321
0.75	0.098537395
0.76	0.099206649
0.77	0.101706737
0.78	0.101315225
0.79	0.103067755
0.8	0.10422723
0.81	0.105937788
0.82	0.104338656
0.83	0.104534544
0.84	0.107001078
0.85	0.111012574
0.86	0.11076329
0.87	0.112038779
0.88	0.114173034
0.89	0.116004573
0.9	0.116828465
0.91	0.116997234
0.92	0.11945701
0.93	0.120635837
0.94	0.122558964
0.95	0.124002721
0.96	0.123935366
0.97	0.126244253
0.98	0.127974627
0.99	0.129942772
1	0.132311724
1.01	0.133907614
1.02	0.135401137
1.03	0.138148809
1.04	0.137937636
1.05	0.139246667
1.06	0.134049061
1.07	0.135717763
1.08	0.140363062
1.09	0.138686104
1.1	0.138418628
1.11	0.139442944
1.12	0.141677831
1.13	0.141308241
1.14	0.140235564
1.15	0.142817756
1.16	0.146729336
1.17	0.152747848
1.18	0.149693183
1.19	0.147906483
1.2	0.149395088
1.21	0.151984867
1.22	0.153423422
1.23	0.153670698
1.24	0.157748208
1.25	0.159662147
1.26	0.165494236
1.27	0.159382324
1.28	0.163849184
1.29	0.166211578
1.3	0.166156462
1.31	0.170115488
1.32	0.169795214
1.33	0.174809869
1.34	0.176209118
1.35	0.179585571
1.36	0.177483381
